x,y,species logistic values
352.0,352.0,0.024196131
353.0,353.0,6.997842E-4
354.0,354.0,1.3468016E-4
355.0,355.0,8.5731625E-4
356.0,356.0,2.4103768E-4
357.0,357.0,0.001463314
358.0,358.0,0.02562121
359.0,359.0,0.0029920912
360.0,360.0,0.4855259
361.0,361.0,0.10966673
362.0,362.0,0.0030745866
363.0,363.0,5.446836E-5
364.0,364.0,1.4525655E-4
365.0,365.0,0.0050556026
366.0,366.0,0.042885933
367.0,367.0,0.0017233855
368.0,368.0,0.0124315545
369.0,369.0,0.0031943212
370.0,370.0,0.0012286042
371.0,371.0,0.054028038
372.0,372.0,0.012783006
373.0,373.0,1.3246162E-4
374.0,374.0,7.800823E-4
375.0,375.0,0.32568917
376.0,376.0,0.046137314
377.0,377.0,9.922563E-4
378.0,378.0,1.507695E-4
379.0,379.0,0.0053084292
380.0,380.0,0.0019001259
381.0,381.0,0.007610895
382.0,382.0,0.27559382
383.0,383.0,0.013776009
384.0,384.0,0.3726796
385.0,385.0,0.010886418
386.0,386.0,0.35407585
387.0,387.0,0.003167473
388.0,388.0,0.0029906675
389.0,389.0,0.025693411
390.0,390.0,0.011826137
391.0,391.0,0.0020963864
392.0,392.0,0.006304224
393.0,393.0,0.025628574
394.0,394.0,0.008289573
395.0,395.0,0.43858582
396.0,396.0,0.026616644
397.0,397.0,0.17712148
398.0,398.0,0.1824358
399.0,399.0,0.011509462
400.0,400.0,0.026006367
401.0,401.0,0.0032564367
402.0,402.0,0.4502778
403.0,403.0,0.50233746
404.0,404.0,0.011084702
405.0,405.0,0.18878709
406.0,406.0,0.034285404
407.0,407.0,3.704327E-5
408.0,408.0,0.062181577
409.0,409.0,0.006984849
410.0,410.0,0.052305948
411.0,411.0,0.3931866
412.0,412.0,0.0026868128
413.0,413.0,0.011098761
414.0,414.0,0.3087416
415.0,415.0,0.14262575
416.0,416.0,0.3159237
417.0,417.0,0.0018288235
418.0,418.0,0.008596718
419.0,419.0,0.01849157
420.0,420.0,0.00862775
421.0,421.0,0.0024293386
422.0,422.0,0.47720605
423.0,423.0,7.5041596E-4
424.0,424.0,7.6173246E-4
425.0,425.0,1.6875876E-4
426.0,426.0,0.020409154
